Attacked Unit@95973b8at position 1013, 305 at time 1607965644551
Moved to 1107, 472 at time 1607965738750
Moved to 1108, 473 at time 1607965739150
Moved to 1109, 474 at time 1607965739527
Moved to 1110, 475 at time 1607965739926
Moved to 1111, 476 at time 1607965740280
Moved to 1112, 477 at time 1607965740454
Moved to 1113, 478 at time 1607965740552
Moved to 1114, 479 at time 1607965740700
Moved to 1115, 480 at time 1607965740761
Moved to 1116, 481 at time 1607965740839
Moved to 1117, 482 at time 1607965741011
Moved to 1118, 483 at time 1607965741077
Moved to 1119, 484 at time 1607965741131
Moved to 1120, 485 at time 1607965741180
Moved to 1119, 495 at time 1607965742611
Moved to 1118, 493 at time 1607965742722
Moved to 1117, 491 at time 1607965742832
Moved to 1116, 490 at time 1607965742906
Moved to 1115, 488 at time 1607965743021
Moved to 1114, 486 at time 1607965743129
Moved to 1113, 484 at time 1607965743243
Moved to 1112, 483 at time 1607965743358
Moved to 1111, 482 at time 1607965743398
Moved to 1110, 480 at time 1607965743586
Moved to 1109, 479 at time 1607965743751
Moved to 1108, 478 at time 1607965743997
Moved to 1107, 477 at time 1607965744150
Moved to 1106, 476 at time 1607965744367
Moved to 1105, 475 at time 1607965744515
Moved to 1104, 474 at time 1607965744745
Moved to 1103, 473 at time 1607965744880
Moved to 1102, 472 at time 1607965745097
Moved to 1101, 471 at time 1607965745239
Moved to 1100, 470 at time 1607965745473
Moved to 1099, 469 at time 1607965745611
Moved to 1098, 468 at time 1607965745839
Moved to 1097, 467 at time 1607965745978
Moved to 1096, 466 at time 1607965746201
Moved to 1095, 465 at time 1607965746345
Moved to 1094, 464 at time 1607965746553
Moved to 1093, 463 at time 1607965746695
Moved to 1092, 462 at time 1607965746877
Moved to 1091, 461 at time 1607965746912
Moved to 1090, 460 at time 1607965746995
Moved to 1089, 459 at time 1607965747270
Moved to 1088, 458 at time 1607965747346
Moved to 1087, 457 at time 1607965747631
Moved to 1086, 456 at time 1607965748023
Moved to 1085, 455 at time 1607965748058
Moved to 1084, 454 at time 1607965748183
Moved to 1083, 453 at time 1607965748309
Moved to 1082, 452 at time 1607965748409
Moved to 1081, 451 at time 1607965748515
Moved to 1080, 450 at time 1607965748583
Moved to 1079, 449 at time 1607965748721
Moved to 1078, 448 at time 1607965748828
Moved to 1077, 447 at time 1607965748917
Moved to 1076, 446 at time 1607965749010
Moved to 1075, 445 at time 1607965749134
Moved to 1074, 444 at time 1607965749496
Moved to 1073, 443 at time 1607965749842
Moved to 1072, 442 at time 1607965749885
Moved to 1071, 441 at time 1607965750248
Moved to 1070, 440 at time 1607965750688
Moved to 1069, 439 at time 1607965751051
Moved to 1068, 438 at time 1607965751441
Moved to 1067, 437 at time 1607965751793
Moved to 1066, 436 at time 1607965752014
Moved to 1065, 435 at time 1607965752125
Moved to 1064, 434 at time 1607965752258
Moved to 1063, 433 at time 1607965752659
Moved to 1062, 432 at time 1607965752696
Moved to 1061, 431 at time 1607965752989
Moved to 1060, 430 at time 1607965753091
Moved to 1059, 429 at time 1607965753367
Moved to 1058, 428 at time 1607965753477
Moved to 1057, 427 at time 1607965753764
Moved to 1056, 426 at time 1607965753894
Moved to 1055, 425 at time 1607965754162
Moved to 1054, 424 at time 1607965754277
Moved to 1053, 423 at time 1607965754552
Moved to 1052, 422 at time 1607965754667
Moved to 1051, 421 at time 1607965754931
Moved to 1050, 420 at time 1607965755038
Moved to 1049, 419 at time 1607965755299
