Attacked Unit@cbcb565at position 382, 1040 at time 1607968586354
Moved to 245, 1034 at time 1607968720762
Moved to 246, 1035 at time 1607968720813
Moved to 242, 1036 at time 1607968723158
Moved to 243, 1037 at time 1607968723336
Moved to 242, 1038 at time 1607968723531
Moved to 243, 1039 at time 1607968723719
Moved to 242, 1040 at time 1607968723925
Moved to 243, 1041 at time 1607968723958
Moved to 244, 1042 at time 1607968724068
Moved to 243, 1043 at time 1607968724131
Moved to 242, 1045 at time 1607968724315
Moved to 241, 1046 at time 1607968724416
Moved to 240, 1047 at time 1607968724484
Moved to 239, 1048 at time 1607968724596
Moved to 240, 1049 at time 1607968724665
Moved to 239, 1050 at time 1607968724699
Attacked Unit@6bbaf5f3at position 236, 1319 at time 1607968724750
Got attacked at 239, 1050 by Unit@6bbaf5f3 at time 1607968725265
Got attacked at 239, 1050 by Unit@39689e8f at time 1607968726022
Attacked Unit@6bbaf5f3at position 236, 1319 at time 1607968726465
Got attacked at 239, 1050 by Unit@6bbaf5f3 at time 1607968726964
Got attacked at 239, 1050 by Unit@39689e8f at time 1607968727695
Attacked Unit@39689e8fat position 256, 1319 at time 1607968728168
Got attacked at 239, 1050 by Unit@6bbaf5f3 at time 1607968728639
Died at 239, 1050 at time 1607968728682
Died at 239, 1050 at time 1607968728878
