Attacked Unit@3cbaf9f2at position 738, 17 at time 1607904712447
Moved to 404, 240 at time 1607904760799
Moved to 405, 241 at time 1607904760918
Moved to 406, 242 at time 1607904761023
Moved to 407, 243 at time 1607904761134
Moved to 408, 244 at time 1607904761267
Moved to 409, 245 at time 1607904761379
Moved to 410, 246 at time 1607904761488
Moved to 411, 247 at time 1607904761601
Moved to 412, 248 at time 1607904761723
Moved to 413, 249 at time 1607904761853
Moved to 414, 250 at time 1607904761974
Moved to 415, 251 at time 1607904762109
Moved to 416, 252 at time 1607904762214
Moved to 417, 253 at time 1607904762317
Moved to 418, 254 at time 1607904762420
Moved to 419, 255 at time 1607904762548
Moved to 420, 256 at time 1607904762671
Moved to 421, 257 at time 1607904762779
Moved to 422, 258 at time 1607904762881
Moved to 423, 259 at time 1607904763026
Moved to 424, 260 at time 1607904763129
Moved to 425, 261 at time 1607904763240
Moved to 426, 262 at time 1607904763344
Moved to 427, 263 at time 1607904763445
Moved to 428, 264 at time 1607904763548
Moved to 429, 265 at time 1607904763650
Moved to 430, 266 at time 1607904763752
Moved to 431, 267 at time 1607904763853
Moved to 432, 268 at time 1607904763957
Moved to 433, 269 at time 1607904764063
Moved to 434, 270 at time 1607904764166
Moved to 435, 271 at time 1607904764270
Moved to 436, 272 at time 1607904764380
Moved to 437, 273 at time 1607904764533
Moved to 438, 274 at time 1607904764636
Moved to 439, 275 at time 1607904764737
Moved to 440, 276 at time 1607904764840
Moved to 441, 277 at time 1607904764942
Moved to 442, 278 at time 1607904765044
Moved to 443, 279 at time 1607904765246
Moved to 444, 280 at time 1607904765347
Moved to 445, 281 at time 1607904765549
Moved to 446, 282 at time 1607904765752
Moved to 447, 283 at time 1607904765853
Moved to 448, 284 at time 1607904765954
Moved to 449, 285 at time 1607904766156
Moved to 450, 286 at time 1607904766258
Moved to 451, 287 at time 1607904766360
Moved to 452, 288 at time 1607904766462
Moved to 453, 289 at time 1607904766566
Moved to 454, 290 at time 1607904766667
Moved to 455, 291 at time 1607904766768
Moved to 456, 292 at time 1607904766872
Moved to 457, 293 at time 1607904766974
Moved to 458, 294 at time 1607904767078
Moved to 459, 295 at time 1607904767179
Moved to 460, 296 at time 1607904767280
Moved to 461, 297 at time 1607904767381
Moved to 462, 298 at time 1607904767482
Moved to 463, 299 at time 1607904767683
Moved to 464, 300 at time 1607904767786
Moved to 465, 301 at time 1607904767889
Moved to 466, 302 at time 1607904768093
Moved to 467, 303 at time 1607904768197
