Attacked Unit@95973b8at position 1013, 305 at time 1607965644645
Moved to 1128, 307 at time 1607965733741
Moved to 1129, 308 at time 1607965734144
Moved to 1130, 309 at time 1607965734585
Moved to 1131, 310 at time 1607965734851
Moved to 1132, 311 at time 1607965734982
Moved to 1133, 312 at time 1607965735129
Moved to 1134, 313 at time 1607965735229
Moved to 1135, 314 at time 1607965735359
Moved to 1136, 315 at time 1607965735439
Moved to 1137, 316 at time 1607965735561
Moved to 1138, 317 at time 1607965735649
Moved to 1139, 318 at time 1607965735776
Moved to 1140, 319 at time 1607965735810
Attacked Unit@18583dfaat position 1409, 586 at time 1607965735940
Got attacked at 1140, 319 by Unit@18583dfa at time 1607965737571
Attacked Unit@18583dfaat position 1409, 586 at time 1607965737937
Attacked Unit@46146d44at position 1409, 551 at time 1607965739887
Got attacked at 1140, 319 by Unit@46146d44 at time 1607965739890
Moved to 1141, 320 at time 1607965741298
Moved to 1142, 321 at time 1607965741593
Moved to 1143, 322 at time 1607965741934
Moved to 1144, 323 at time 1607965742098
Moved to 1145, 324 at time 1607965742139
Moved to 1146, 325 at time 1607965742284
Moved to 1147, 326 at time 1607965742327
Moved to 1148, 327 at time 1607965742457
Moved to 1147, 326 at time 1607965742599
Moved to 1146, 325 at time 1607965742686
Moved to 1145, 324 at time 1607965742827
Moved to 1144, 323 at time 1607965742913
Moved to 1143, 322 at time 1607965743052
Moved to 1142, 321 at time 1607965743133
Moved to 1141, 320 at time 1607965743275
Moved to 1140, 319 at time 1607965743326
Moved to 1139, 318 at time 1607965743433
Moved to 1138, 317 at time 1607965743468
Moved to 1137, 316 at time 1607965743533
Moved to 1136, 315 at time 1607965743827
Moved to 1135, 314 at time 1607965743927
Moved to 1134, 313 at time 1607965744219
Moved to 1133, 312 at time 1607965744254
Moved to 1132, 311 at time 1607965744628
Moved to 1131, 310 at time 1607965744990
Moved to 1130, 309 at time 1607965745348
Moved to 1129, 308 at time 1607965745719
Moved to 1128, 307 at time 1607965746088
Moved to 1127, 306 at time 1607965746446
Moved to 1126, 305 at time 1607965746785
Moved to 1125, 304 at time 1607965747129
Moved to 1124, 303 at time 1607965747504
Moved to 1123, 302 at time 1607965747835
Moved to 1122, 301 at time 1607965748146
Moved to 1121, 300 at time 1607965748241
Moved to 1120, 299 at time 1607965748364
Moved to 1119, 298 at time 1607965748461
Moved to 1118, 297 at time 1607965748556
Moved to 1117, 296 at time 1607965748634
Moved to 1116, 295 at time 1607965748798
Moved to 1115, 294 at time 1607965748862
Moved to 1114, 293 at time 1607965748976
Moved to 1113, 292 at time 1607965749041
Moved to 1112, 291 at time 1607965749315
Moved to 1111, 290 at time 1607965749637
Moved to 1110, 289 at time 1607965749691
Moved to 1109, 288 at time 1607965750042
Moved to 1108, 287 at time 1607965750089
Moved to 1107, 286 at time 1607965750438
Moved to 1106, 285 at time 1607965750489
Moved to 1105, 284 at time 1607965750843
Moved to 1104, 283 at time 1607965750886
Moved to 1103, 282 at time 1607965751222
Moved to 1102, 281 at time 1607965751632
Moved to 1101, 280 at time 1607965751916
Moved to 1100, 279 at time 1607965751950
Moved to 1099, 278 at time 1607965752060
Moved to 1098, 277 at time 1607965752199
Moved to 1097, 276 at time 1607965752405
Moved to 1096, 275 at time 1607965752506
Moved to 1095, 274 at time 1607965752776
Moved to 1094, 273 at time 1607965752891
Moved to 1093, 272 at time 1607965753182
Moved to 1092, 271 at time 1607965753283
Moved to 1091, 270 at time 1607965753566
Moved to 1090, 269 at time 1607965753668
Moved to 1089, 268 at time 1607965753986
Moved to 1088, 267 at time 1607965754071
Moved to 1087, 266 at time 1607965754368
Moved to 1086, 265 at time 1607965754802
Moved to 1085, 264 at time 1607965755173
Moved to 1084, 263 at time 1607965755552
Moved to 1083, 262 at time 1607965755942
Moved to 1082, 261 at time 1607965756308
Moved to 1081, 260 at time 1607965756715
Moved to 1080, 259 at time 1607965756979
Moved to 1079, 258 at time 1607965757029
Moved to 1078, 257 at time 1607965757375
Moved to 1077, 256 at time 1607965757419
Moved to 1076, 255 at time 1607965757745
Moved to 1075, 254 at time 1607965757798
Moved to 1074, 253 at time 1607965758121
Moved to 1073, 252 at time 1607965758191
Moved to 1072, 251 at time 1607965758501
Moved to 1071, 250 at time 1607965758583
Moved to 1070, 249 at time 1607965758942
Moved to 1069, 248 at time 1607965759003
Moved to 1068, 247 at time 1607965759325
Moved to 1067, 246 at time 1607965759386
Moved to 1066, 245 at time 1607965759713
Moved to 1065, 244 at time 1607965759770
Moved to 1064, 243 at time 1607965760038
Moved to 1063, 242 at time 1607965760159
Moved to 1062, 241 at time 1607965760262
Moved to 1061, 240 at time 1607965760380
Moved to 1060, 239 at time 1607965760483
Moved to 1059, 238 at time 1607965760518
Moved to 1058, 237 at time 1607965760570
Moved to 1057, 236 at time 1607965760628
Moved to 1056, 235 at time 1607965760663
Moved to 1055, 234 at time 1607965760702
Moved to 1054, 233 at time 1607965760820
Moved to 1053, 232 at time 1607965760867
Moved to 1052, 231 at time 1607965760902
Moved to 1051, 230 at time 1607965760953
Moved to 1050, 229 at time 1607965761115
Moved to 1049, 228 at time 1607965761150
Moved to 1048, 227 at time 1607965761418
Moved to 1047, 226 at time 1607965761567
Moved to 1046, 225 at time 1607965761630
Moved to 1045, 224 at time 1607965761668
Moved to 1044, 223 at time 1607965761744
